MEIJER THRIFTY ACRES #177,8401 TWENTY SIX MILE RD,WASHINGTON TWP,48094,42.75248,-83.032269
MEIJER THRIFTY ACRES #227, 6001 HIGHLAND RD,WHITE LAKE,48383,42.651482,-83.532114
MEIJER THRIFTY ACRES #53,4200 HIGHLAND RD,WATERFORD,48328,42.653121,-83.368318
MEIJER THRIFTY ACRES #237,29505 MOUND RD,WARREN,48092,42.509914,-83.049416
WALMART #3487 (SUPER),51450 SHELBY PARKWAY,SHELBY TOWNSHIP,48315,42.67956,-83.003907
MEIJER THRIFTY ACRES #63,30800 LITTLE MACK AVE,ROSEVILLE,48066,42.524531,-82.908431
MEIJER THRIFTY ACRES #65,15055 HALL RD,UTICA,48315,42.630028,-82.976713
MEIJER THRIFTY ACRES #222,1005 THIRTEEN MILE RD,MADISON HEIGHTS,48071,42.485869,-83.105203
MEIJER THRIFTY ACRES #122,49900 GRAND RIVER AVE,WIXOM,48393,42.49778,-83.54129
MEIJER THRIFTY ACRES #34,5150 COOLIDGE HWY,ROYAL OAK,48073,42.518324,-83.15954
MEIJER THRIFTY ACRES #243,40445 GROESBECK HWY,CLINTON TWP,48036,42.583236,-82.902201
BED BATH & BEYOND,12020 HALL RD,STERLING HEIGHT,48313,42.596418,-82.998534
WALMART #2873,2001 W MAPLE RD,TROY,48084,42.544272,-83.172554
WALMART #2559 (SUPER),33201 VAN DYKE RD,STERLING HEIGHT,48312,42.562608,-83.003907
MEIJER THRIFTY ACRES #242,36865 TWENTY SIX MILE RD,LENOX,48048,42.74401,-82.788639
MEIJER THRIFTY ACRES #145,34835 UTICA RD,FRASER,48026,42.551846,-82.962264
MEIJER THRIFTY ACRES #105,27255 TWENTY THREE MILE,CHESTERFIELD,48051,42.688367,-82.831749
MEIJER THRIFTY ACRES #197,900 N LAPEER RD,OXFORD,48371,42.840076,-83.270841
MEIJER THRIFTY ACRES #57,3175 S ROCHESTER RD,ROCHESTER,48306,42.743042,-83.136215
THE WOODSHOP,18 S MAIN ST,CLARKSTON,48346,42.735433,-83.418863
NINO SALVAGGIO,6835 ROCHESTER RD,TROY,48085,42.620648,-83.131582
RUDY'S MARKET,9 S MAIN ST,CLARKSTON,48346,42.735574,-83.419419
JOE'S UPTOWN MARKET,52 CROCKER RD,MOUNT CLEMENS,48043,42.594609,-82.875147
MEIJER THRIFTY ACRES #185,800 BROWN RD,AUBURN HILLS,48326,42.706011,-83.289025
MEIJER THRIFTY ACRES #260,3610 MARKET PLACE CIRCLE,ROCHESTER HILLS,48309,42.650976,-83.175619
NINO SALVAGGIO,17496 HALL RD,CLINTON TWP,48038,42.626904,-82.943197
MEIJER THRIFTY ACRES #231,28800 TELEGRAPH RD,SOUTHFIELD,48034,42.500353,-83.282434
MEIJER THRIFTY ACRES #109,1703 HAGGERTY RD,COMMERCE TWP,48390,42.551387,-83.475024
WALMART #5893,26090 INGERSOL RD,NOVI,48375,42.482311,-83.472113
LAKEVIEW FOOD BASKET,4710 CLARKSTON RD,CLARKSTON,48348,42.764127,-83.33934
KROGER #650,4888 ADAMS RD,OAKLAND TWP,48306,42.717206,-83.143457
WALMART #5048 (SUPER),30729 LYON CENTER DR,NEW HUDSON,48165,42.514173,-83.613123
BUSCH'S #1201,22385 PONTIAC TRAIL RD,SOUTH LYON,48178,42.46059,-83.651606
VARIETY FOODS,7001 CHICAGO RD,WARREN,48092,42.524797,-83.034711
HOLLYWOOD SUPERMARKET #1,29220 N CAMPBELL RD,MADISON HEIGHTS,48071,42.519304,-83.1257
DAVISBURG AND DIXIE MKT,9811 DIXIE HWY,CLARKSTON,48348,42.759669,-83.482903
WALMART #2692 (SUPER),45400 MARKETPLACE BLVD,CHESTERFIELD,48051,42.634797,-82.852857
